Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
DELL,Inspiron ,13th Gen,8 GB,512 GB,Black,1.64,AMD Ryzen 3,29990,4,15.6,Windows 11
DELL,15 Intel Core i5 ,13th Gen,16 GB,512 GB,Grey,1.66,Intel Core i5,57990,3.5,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,34500,4.6,15.6,Windows 11
LENOVO,V15 G4 AMD Athlon ,13th Gen,8 GB,512 GB,Silver,1.58,AMD Athlon Silver,25979,4.1,15.6,Windows 11
DELL,SmartChoice ,13th Gen,6 GB,512 GB,Grey,1.64,Intel Core i5,77490,4,15.6,Windows 11
PRIMEBOOK,2 Max 2025 ,13th Gen,8 GB,512 GB,Gray,1.62,MediaTek Helio G99,19990,4.4,19.58,Android 15
PRIMEBOOK,2 Pro 2025 ,13th Gen,8 GB,512 GB,Gray,1.62,MediaTek Helio G99,17990,4.5,19.58,Android 15
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,AMD Ryzen 3,30990,4,15.6,Windows 11
HP,Vivobook ,12th Gen,8 GB,512 GB,Silver,1.69,Intel Core i3,32990,4,15.6,Windows 11
ACER,Aspire ,13th Gen,8 GB,512 GB,Gray,1.59,AMD Ryzen 3,27999,3.8,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.62,Intel Core i5,59990,3.8,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Grey,1.64,Intel Core i3,40990,3.7,15.6,Windows 11
ACER,Aspire 3 12th Gen ,12th Gen,8 GB,512 GB,Silver,1.67,Intel Core i3,29990,4,15.6,Windows 11
ASUS,Vivobook 15 ,13th Gen,16 GB,512 GB,Blue,1.61,AMD Ryzen 7,44900,3.9,15.6,Windows 11
LENOVO,IdeaPad Slim 3 13th ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,53999,4,15.3,Windows 11
HP,Vivobook ,13th Gen,12 GB,512 GB,Silver,1.59,Intel Core i3,37990,4,39.6,Windows 11
LENOVO,V15 G4 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 5,34990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.65,Intel Ultra 5,64490,4,39.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.64,AMD Ryzen 7,50005,3.7,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,Intel Core i5,52490,3.8,39.6,Windows 11
