Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
DELL,Inspiron ,13th Gen,16 GB,512 GB,Silver,1.62,Intel Core i5,61490,3.8,15.6,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Grey,1.64,Intel Core i3,41990,3.7,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,35000,4.6,15.6,Windows 11
LENOVO,V15 G4 AMD Athlon ,13th Gen,8 GB,512 GB,Silver,1.55,AMD Athlon Silver,26990,4.1,15.6,Windows 11
HP,Vivobook ,14th Gen,32 GB,512 GB,Grey,1.4,Intel Core i5,53990,5,14,Windows 11
LENOVO,IdeaPad 1 AMD Ryzen ,13th Gen,8 GB,512 GB,Grey,1.55,AMD Ryzen 5,33799,4,15.6,Windows 11
DELL,SmartChoice ,13th Gen,6 GB,512 GB,Grey,1.64,Intel Core i5,77490,4,15.6,Windows 11
LENOVO,14,13th Gen,4 GB,512 GB,Grey,1.55,AMD Ryzen 5,63990,4.2,15.6,Windows 11
PRIMEBOOK,2 Max 2025 ,13th Gen,8 GB,512 GB,Gray,1.63,MediaTek Helio G99,19990,4.55,20.02,Android 15
DELL,Inspiron ,13th Gen,8 GB,512 GB,Black,1.64,AMD Ryzen 3,29490,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.59,AMD Ryzen 5,42990,4,39.6,Windows 11
HP,Vivobook ,13th Gen,32 GB,512 GB,Silver,1.66,Intel Core i5,54300,1,14,Windows 11
HP,Vivobook ,12th Gen,8 GB,512 GB,Silver,1.69,Intel Core i3,32990,4,15.6,Windows 11
JIOBOOK,11 with Lifetime Office ,13th Gen,4 GB,512 GB,Blue,1.63,Intel Core i5,10990,3,11.6,Android 4
LENOVO,IdeaPad Slim ,12th Gen,16 GB,512 GB,Grey,1.55,Intel Core i5,47400,4.1,15.6,Windows 11
